ProteinID,Alignments,SpecCounts,Unique,Coverage,Protein description
PMM1530,1,1,1,0.14,| rpmE | 50S ribosomal protein L311110.14| rpmE | 50S ribosomal protein L31
PMM1532,4,7,4,0.252,| rplM | 50S ribosomal protein L134740.252| rplM | 50S ribosomal protein L13
PMM1534,2,3,2,0.172,| rplQ | 50S ribosomal protein L172320.172| rplQ | 50S ribosomal protein L17
PMM1535,9,10,9,0.26,| rpoA | DNA-directed RNA polymerase subunit alpha91090.26| rpoA | DNA-directed RNA polymerase subunit alpha
PMM1536,3,4,3,0.223,| rps11 | 30S ribosomal protein S113430.223| rps11 | 30S ribosomal protein S11
PMM1537,4,6,4,0.314,| rpsM | 30S ribosomal protein S134640.314| rpsM | 30S ribosomal protein S13
PMM1539,5,6,5,0.31,| adk | adenylate kinase5650.31| adk | adenylate kinase
PMM1540,1,1,1,0.025,| secY | preprotein translocase subunit SecY1110.025| secY | preprotein translocase subunit SecY
PMM1541,4,4,4,0.191,| rplO | 50S ribosomal protein L154440.191| rplO | 50S ribosomal protein L15
PMM1542,2,5,2,0.112,| rpsE | 30S ribosomal protein S52520.112| rpsE | 30S ribosomal protein S5
PMM1543,1,1,1,0.107,| rplR | 50S ribosomal protein L181110.107| rplR | 50S ribosomal protein L18
PMM1544,3,3,3,0.19,| rplF | 50S ribosomal protein L63330.19| rplF | 50S ribosomal protein L6
PMM1545,1,2,1,0.105,| rpsH | 30S ribosomal protein S81210.105| rpsH | 30S ribosomal protein S8
PMM1546,3,4,3,0.152,| rplE | 50S ribosomal protein L53430.152| rplE | 50S ribosomal protein L5
PMM1547,2,3,2,0.119,| rplX | 50S ribosomal protein L242320.119| rplX | 50S ribosomal protein L24
PMM1548,1,1,1,0.107,| rplN | 50S ribosomal protein L141110.107| rplN | 50S ribosomal protein L14
PMM1549,4,7,4,0.295,| rpsQ | 30S ribosomal protein S174740.295| rpsQ | 30S ribosomal protein S17
PMM1550,2,3,2,0.264,| rpl29 | 50S ribosomal protein L292320.264| rpl29 | 50S ribosomal protein L29
PMM1551,1,1,1,0.056,| rplP | 50S ribosomal protein L161110.056| rplP | 50S ribosomal protein L16
PMM1552,7,10,7,0.317,| rpsC | 30S ribosomal protein S371070.317| rpsC | 30S ribosomal protein S3
PMM1553,1,1,1,0.055,| rplV | 50S ribosomal protein L221110.055| rplV | 50S ribosomal protein L22
PMM1554,1,1,1,0.121,| rpsS | 30S ribosomal protein S191110.121| rpsS | 30S ribosomal protein S19
PMM1555,7,10,7,0.209,| rplB | 50S ribosomal protein L271070.209| rplB | 50S ribosomal protein L2
PMM1556,4,6,4,0.36,| rplW | 50S ribosomal protein L234640.36| rplW | 50S ribosomal protein L23
PMM1557,5,5,5,0.238,| rplD | 50S ribosomal protein L45550.238| rplD | 50S ribosomal protein L4
PMM1558,5,5,5,0.212,| rplC | 50S ribosomal protein L35550.212| rplC | 50S ribosomal protein L3
PMM1559,1,2,1,0.064,| PMM1559 | NADH dehydrogenase I subunit N1210.064| PMM1559 | NADH dehydrogenase I subunit N
PMM1561,3,3,3,0.12,| PMM1561 | hypothetical protein3330.12| PMM1561 | hypothetical protein
PMM1562,4,5,4,0.103,| recA | recombinase A4540.103| recA | recombinase A
PMM1565,9,9,9,0.29,| PMM1565 | arogenate dehydrogenase9990.29| PMM1565 | arogenate dehydrogenase
PMM1568,1,1,1,0.124,| PMM1568 | hypothetical protein1110.124| PMM1568 | hypothetical protein
PMM1569,3,3,3,0.089,| moeB | molybdopterin biosynthesis protein3330.089| moeB | molybdopterin biosynthesis protein
PMM1570,4,4,4,0.111,| PMM1570 | hypothetical protein4440.111| PMM1570 | hypothetical protein
PMM1573,1,1,1,0.022,| recF | putative DNA repair and genetic recombination protein RecF1110.022| recF | putative DNA repair and genetic recombination protein RecF
PMM1574,1,1,1,0.081,| PMM1574 | hypothetical protein1110.081| PMM1574 | hypothetical protein
PMM1575,9,10,8,0.078,| ppc | phosphoenolpyruvate carboxylase91080.078| ppc | phosphoenolpyruvate carboxylase
PMM1576,3,3,3,0.067,| PMM1576 | hypothetical protein3330.067| PMM1576 | hypothetical protein
PMM1577,6,6,6,0.105,| trpE | anthranilate synthase component I/chorismate-binding protein6660.105| trpE | anthranilate synthase component I/chorismate-binding protein
PMM1578,10,16,10,0.514,| psaD | photosystem I protein PsaD1016100.514| psaD | photosystem I protein PsaD
PMM1579,4,4,4,0.079,| PMM1579 | hypothetical protein4440.079| PMM1579 | hypothetical protein
PMM1580,1,1,1,0.024,| rodA | hypothetical protein1110.024| rodA | hypothetical protein
PMM1581,3,4,3,0.048,| PMM1581 | ATPase3430.048| PMM1581 | ATPase
PMM1582,2,2,2,0.041,| hemF | coproporphyrinogen III oxidase2220.041| hemF | coproporphyrinogen III oxidase
PMM1583,1,1,1,0.048,| PMM1583 | hypothetical protein1110.048| PMM1583 | hypothetical protein
PMM1584,5,5,5,0.254,| rnd | putative ribonuclease D5550.254| rnd | putative ribonuclease D
PMM1585,3,3,3,0.295,| PMM1585 | hypothetical protein3330.295| PMM1585 | hypothetical protein
PMM1588,2,2,2,0.098,| PMM1588 | carboxylase domain-containing protein2220.098| PMM1588 | carboxylase domain-containing protein
PMM1589,5,6,5,0.144,| purM5650.144| purM
PMM1590,2,2,2,0.037,| panC | bifunctional pantoate ligase/cytidylate kinase2220.037| panC | bifunctional pantoate ligase/cytidylate kinase
PMM1592,1,1,1,0.035,| pebB | phycoerythrobilin:ferredoxin oxidoreductase1110.035| pebB | phycoerythrobilin:ferredoxin oxidoreductase
PMM1594,3,3,3,0.123,| ho1 | Heme oxygenase3330.123| ho1 | Heme oxygenase
PMM1596,5,5,5,0.082,| icd | isocitrate dehydrogenase5550.082| icd | isocitrate dehydrogenase
PMM1597,1,1,1,0.013,| PMM1597 | hypothetical protein1110.013| PMM1597 | hypothetical protein
PMM1599,7,9,6,0.223,| PMM1599 | hypothetical protein7960.223| PMM1599 | hypothetical protein
PMM1600,2,3,1,0.051,| PMM1600 | CPA2 family Na+/H+ antiporter2310.051| PMM1600 | CPA2 family Na+/H+ antiporter
PMM1601,3,3,3,0.035,| PMM1601 | phosphorylase3330.035| PMM1601 | phosphorylase
PMM1603,4,5,4,0.173,| rnc | putative ribonuclease III4540.173| rnc | putative ribonuclease III
PMM1604,1,1,1,0.115,| PMM1604 | hypothetical protein1110.115| PMM1604 | hypothetical protein
PMM1606,6,7,6,0.109,| glmS | glucosamine--fructose-6-phosphate aminotransferase6760.109| glmS | glucosamine--fructose-6-phosphate aminotransferase
PMM1607,4,5,4,0.37,| psaC | photosystem I subunit VII4540.37| psaC | photosystem I subunit VII
PMM1608,2,5,2,0.212,| acpP | acyl carrier protein2520.212| acpP | acyl carrier protein
PMM1609,2,2,2,0.07,| fabF | 3-oxoacyl-[acyl-carrier-protein] synthase II2220.07| fabF | 3-oxoacyl-[acyl-carrier-protein] synthase II
PMM1610,7,9,7,0.091,| tktA | transketolase7970.091| tktA | transketolase
PMM1611,6,7,6,0.112,| thiC | thiamine biosynthesis protein ThiC6760.112| thiC | thiamine biosynthesis protein ThiC
PMM1613,5,5,5,0.13,| PMM1613 | zinc metallopeptidase5550.13| PMM1613 | zinc metallopeptidase
PMM1614,2,2,2,0.073,| PMM1614 | hypothetical protein2220.073| PMM1614 | hypothetical protein
PMM1618,7,7,7,0.109,| lysS | lysyl-tRNA synthetase7770.109| lysS | lysyl-tRNA synthetase
PMM1619,6,6,6,0.315,| PMM1619 | two-component response regulator6660.315| PMM1619 | two-component response regulator
PMM1621,1,1,1,0.028,| mreC | rod shape-determining protein MreC1110.028| mreC | rod shape-determining protein MreC
PMM1622,7,11,7,0.223,| mreB | rod shape-determining protein MreB71170.223| mreB | rod shape-determining protein MreB
PMM1623,5,5,5,0.407,| ssb | single-stranded DNA-binding protein5550.407| ssb | single-stranded DNA-binding protein
PMM1625,5,5,5,0.108,| ahcY | S-adenosyl-L-homocysteine hydrolase5550.108| ahcY | S-adenosyl-L-homocysteine hydrolase
PMM1629,2,2,1,0.051,| PMM1629 | type II alternative sigma-70 family RNA polymerase sigma factor2210.051| PMM1629 | type II alternative sigma-70 family RNA polymerase sigma factor
PMM1630,8,10,8,0.134,| PMM1630 | Mg2+ transporter81080.134| PMM1630 | Mg2+ transporter
PMM1631,1,1,1,0.101,| PMM1631 | hypothetical protein1110.101| PMM1631 | hypothetical protein
PMM1634,12,13,12,0.163,| gyrB | DNA gyrase subunit B1213120.163| gyrB | DNA gyrase subunit B
PMM1636,3,4,3,0.158,| infC | translation initiation factor IF-33430.158| infC | translation initiation factor IF-3
PMM1637,4,4,4,0.118,| PMM1637 | putative transcriptional regulator4440.118| PMM1637 | putative transcriptional regulator
PMM1638,1,1,0,0.029,| cysE | Serine acetyltransferase1100.029| cysE | Serine acetyltransferase
PMM1639,11,11,11,0.094,| secA | preprotein translocase subunit SecA1111110.094| secA | preprotein translocase subunit SecA
PMM1640,1,1,1,0.093,| PMM1640 | GNAT family acetyltransferase1110.093| PMM1640 | GNAT family acetyltransferase
PMM1642,1,1,1,0.07,| PMM1642 | transcription regulator1110.07| PMM1642 | transcription regulator
PMM1643,1,2,1,0.089,| ribH | 61210.089| ribH | 6
PMM1645,1,1,1,0.013,| mutS1110.013| mutS
PMM1647,1,1,1,0.024,| PMM1647 | DNA polymerase III subunit delta1110.024| PMM1647 | DNA polymerase III subunit delta
PMM1648,4,5,4,0.077,| lysC | aspartate kinase4540.077| lysC | aspartate kinase
PMM1649,3,3,3,0.043,| uvrB | excinuclease ABC subunit B3330.043| uvrB | excinuclease ABC subunit B
PMM1650,3,3,3,0.115,| PMM1650 | hypothetical protein3330.115| PMM1650 | hypothetical protein
PMM1652,5,5,5,0.075,| PMM1652 | hypothetical protein5550.075| PMM1652 | hypothetical protein
PMM1653,6,7,6,0.189,| dapA | dihydrodipicolinate synthase6760.189| dapA | dihydrodipicolinate synthase
PMM1654,3,3,3,0.122,| asd | aspartate semialdehyde dehydrogenase3330.122| asd | aspartate semialdehyde dehydrogenase
PMM1655,8,8,8,0.156,| tig | trigger factor8880.156| tig | trigger factor
PMM1656,2,2,2,0.07,| clpP2 | Clp protease proteolytic subunit2220.07| clpP2 | Clp protease proteolytic subunit
PMM1657,7,8,7,0.147,| clpX | ATP-dependent protease ATP-binding subunit ClpX7870.147| clpX | ATP-dependent protease ATP-binding subunit ClpX
PMM1658,5,5,5,0.088,| dnaX | DNA polymerase5550.088| dnaX | DNA polymerase
PMM1659,2,2,2,0.048,| PMM1659 | glycosyl transferase family protein2220.048| PMM1659 | glycosyl transferase family protein
PMM1662,2,3,2,0.13,| rplT | 50S ribosomal protein L202320.13| rplT | 50S ribosomal protein L20
PMM1663,3,3,3,0.205,| PMM1663 | putative photosystem I assembly related protein Ycf373330.205| PMM1663 | putative photosystem I assembly related protein Ycf37
PMM1664,2,2,2,0.064,| thiG | thiazole synthase2220.064| thiG | thiazole synthase
PMM1665,7,11,7,0.159,| sqdB | sulfolipid (UDP-sulfoquinovose) biosynthesis protein71170.159| sqdB | sulfolipid (UDP-sulfoquinovose) biosynthesis protein
PMM1666,3,4,3,0.082,| sqdX | SqdX3430.082| sqdX | SqdX
PMM1668,2,2,2,0.024,| gcvP | glycine dehydrogenase2220.024| gcvP | glycine dehydrogenase
PMM1669,5,7,5,0.38,| gcsH | glycine cleavage system protein H5750.38| gcsH | glycine cleavage system protein H
PMM1670,1,1,1,0.023,| PMM1670 | cystathionine beta-lyase family aluminum resistance protein1110.023| PMM1670 | cystathionine beta-lyase family aluminum resistance protein
PMM1671,1,1,1,0.055,| PMM1671 | hypothetical protein1110.055| PMM1671 | hypothetical protein
PMM1673,4,6,4,0.238,| rplI | 50S ribosomal protein L94640.238| rplI | 50S ribosomal protein L9
PMM1678,4,5,4,0.216,| PMM1678 | hypothetical protein4540.216| PMM1678 | hypothetical protein
PMM1682,6,7,6,0.056,| valS | valyl-tRNA synthetase6760.056| valS | valyl-tRNA synthetase
PMM1685,2,2,2,0.053,| speE | spermidine synthase2220.053| speE | spermidine synthase
PMM1686,1,1,1,0.024,| PMM1686 | arginase1110.024| PMM1686 | arginase
PMM1687,6,6,6,0.138,| gcvT | glycine cleavage system aminomethyltransferase T6660.138| gcvT | glycine cleavage system aminomethyltransferase T
PMM1688,8,8,8,0.119,| aspS | aspartyl-tRNA synthetase8880.119| aspS | aspartyl-tRNA synthetase
PMM1689,5,7,5,0.097,| pyrG | CTP synthetase5750.097| pyrG | CTP synthetase
PMM1691,1,1,1,0.045,| PMM1691 | ATPase1110.045| PMM1691 | ATPase
PMM1692,1,1,1,0.021,| PMM1692 | putative p-aminobenzoate synthetase1110.021| PMM1692 | putative p-aminobenzoate synthetase
PMM1693,1,1,1,0.036,| PMM1693 | aminotransferase class-IV1110.036| PMM1693 | aminotransferase class-IV
PMM1694,6,6,6,0.188,| cobA | putative uroporphyrin-III C-methyltransferase6660.188| cobA | putative uroporphyrin-III C-methyltransferase
PMM1696,2,2,2,0.019,| ppk | polyphosphate kinase2220.019| ppk | polyphosphate kinase
PMM1697,1,1,0,0.029,| PMM1697 | type II alternative sigma-70 family RNA polymerase sigma factor1100.029| PMM1697 | type II alternative sigma-70 family RNA polymerase sigma factor
PMM1699,4,4,4,0.09,| aroF | phospho-2-dehydro-3-deoxyheptonate aldolase4440.09| aroF | phospho-2-dehydro-3-deoxyheptonate aldolase
PMM1700,4,4,4,0.051,| acnB | bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase4440.051| acnB | bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase
PMM1701,1,1,1,0.015,| PMM1701 | putative chloride channel1110.015| PMM1701 | putative chloride channel
PMM1702,1,1,1,0.035,| purU | formyltetrahydrofolate deformylase1110.035| purU | formyltetrahydrofolate deformylase
PMM1704,22,29,22,0.232,| dnaK | molecular chaperone DnaK2229220.232| dnaK | molecular chaperone DnaK
PMM1705,2,2,2,0.053,| aroE | shikimate 5-dehydrogenase2220.053| aroE | shikimate 5-dehydrogenase
PMM1706,5,9,5,0.221,| rpsF | 30S ribosomal protein S65950.221| rpsF | 30S ribosomal protein S6
PMM1707,11,12,11,0.243,| argG | argininosuccinate synthase1112110.243| argG | argininosuccinate synthase
PMM1709,1,1,1,0.017,| mraY | phospho-N-acetylmuramoyl-pentapeptide- transferase1110.017| mraY | phospho-N-acetylmuramoyl-pentapeptide- transferase
PMM1710,1,1,1,0.069,| PMM1710 | hypothetical protein1110.069| PMM1710 | hypothetical protein
PMM1711,5,5,5,0.096,| sps | sucrose phosphate synthase5550.096| sps | sucrose phosphate synthase
PMM1712,9,9,9,0.083,| uvrA | excinuclease ABC subunit A9990.083| uvrA | excinuclease ABC subunit A
PMM1715,2,2,2,0.136,| PMM1715 | hypothetical protein2220.136| PMM1715 | hypothetical protein
PMM1716,6,7,6,0.123,| thrC | threonine synthase6760.123| thrC | threonine synthase
gi|54036848|sp|P63284.1|CLPB_ECOLI,4,5,4,0.043,RecName: Full=Chaperone protein ClpB; AltName: Full=Heat shock protein F84.14540.043RecName: Full=Chaperone protein ClpB; AltName: Full=Heat shock protein F84.1
